Appt,Name,Charity,Registered Number,Date
A84,T2201213666234740153,Sn Muine Mhea,20122416,2011-11-01
A85,T8033789736190597842,Cara Iorrais Teoranta,20074609,2006-07-18
A86,T1807593825289034281,Caoga Senior Citizens Social Club,20058555,2007-01-01
A87,T9020558307236356546,Ballintubber N S (Mayo),20129330,2016-10-01
A88,T1814142142139342037,Offaly Domestic Violence Support Service,20038021,2014-09-02
A89,T7867509870896674913,Roscrea N S No 2,20134839,2016-12-01
A90,T6432602637678910028,Clonown N S,20133641,2015-12-10
A91,T3482282572369216330,Leitrim Association For People With Disabilities,20034283,2016-10-04
A92,T2029478096447781816,Offaly Association for People with an Intellectual Disability,20017279,1990-01-01
A93,T6401712592500980697,Cara Cancer Support Centre,20083588,2015-04-11
A94,T7831071958024919501,Rooskey Development and Social Inclusion Group Ltd,20061364,2004-12-02
A95,T9132464692242412865,Oatlands College,20144999,2019-02-01
A96,T1176325863673899373,Leinster Quarterly Meeting Educational Committee.,20000950,2008-11-04
A97,T8810158947093849625,Irish Rule of Law International,20073541,2015-06-30
A98,T6812832851298741381,Irish Primary Principals' Network Limited,20063634,2014-11-13
A99,T5012698855689772214,TU Dublin Foundation,20045807,2014-03-11
A100,T2676087666901809390,Carbally community Development project,20141240,2017-01-25
A101,T1009734510231432776,Leebeen Park Development CLG,20054021,2003-05-22
A102,T7662894127274407564,Damer And Fortick Charity,20003074,2009-06-19
A103,T7662894127274407564,Damer & Fortick Residential Services Limited,20072728,2009-06-19
A104,T2882143308209247942,A Sense of Cork Mid-Summer Arts Festival Limited,20075514,2011-12-02
A105,T7475608681568531939,Milltown Community Care Association,20026219,2000-11-01
A106,T2765983923867953307,Milltown Housing Association Limited,20038397,2002-06-20
A107,T913577169592283012,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
A108,T5263030965424218781,Saint Philips Church - Milltown.,20003104,2014-04-01
A109,T219556352292022527,Milltown N S,20109523,2011-12-01
A110,T3128643030435190097,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
A111,T5287325399602962238,Sn Muine Mhea,20122416,2015-11-01
A112,T7841128372426093354,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
A113,T6557003909652368431,Roscarbery Con N S,20112868,2015-11-10
A114,T1944241516995551183,Saint Patrick's National School-Drogheda,20023232,2015-12-10
A115,T7411101440117045231,22Q11 Ireland Support Group Limited,20066109,2007-10-17
A116,T914425408172021390,Clonmel Youth Training Enterprises Ltd,20037017,2010-05-26
A117,T4671347225442626766,Cystinosis Foundation Ireland Limited,20053796,2003-06-06
A118,T5160697667731559814,Employment Response Northwest Limited,20062880,2004-10-15
A119,T4888929013965960723,Clonmany Agricultural Sheepdog Association Limited,20054151,1999-08-06
A120,T724263129671231891,Saint Patrick's Loreto Primary School-Bray,20014322,2006-12-01
A121,T98547758456394399,C.b.s. Secondary School,20146184,2014-11-13
A122,T4023664625306725988,A Dogs Life,20071882,2010-06-12
A123,T1445239352929966932,Caoimhin Naofa N S,20139018,1995-11-01
A124,T2933624266697789648,Milltown Community Care Association,20026219,2000-11-01
A125,T8421708873405512000,Ballinteer Community School,20148836,2014-08-01
A126,T7544681578706150769,Leenane Development Association Limited,20083946,2013-09-26
A127,T6200677029947178112,Cappanagarrane Horse Rescue,20101305,2015-05-01
A128,T4540786635233175727,Legal Aid Board,20012489,2016-11-08
A129,T6084842747593775998,Irish Skin Foundation,20078706,2017-01-01
A130,T1292802584944977882,Daisyhouse Housing Association Ltd,20024185,2018-12-03
A131,T7070852078114783392,Abaile Autism Support Limited,20052232,2005-09-29
A132,T272903622742442480,Sn Naomh Proinnsias,20130312,2015-12-01
A133,T2893339080943031496,Enable Ireland Disability Services,20006617,1997-12-17
A134,T2708849876329919626,ENHANCE,20064679,2015-03-14
A135,T2462943739123189517,Lehena Enterprises,20152918,2016-07-17
A136,T8138985160862240668,St. Johns Senior National School,20138738,2015-09-01
A137,T3352555066576081594,Cappamore Housing Association Company by Limited Guarantee,20066840,2007-02-14
A138,T7749746780316416963,Clonown N S,20133641,2015-12-10
A139,T6133297277802175429,Irish Seed Saver's Association Ltd,20045029,2009-08-08
A140,T7832749663723303467,Leim an Bhradain Housing Association Company Limited,20052461,2013-07-26
A141,T4846133680082055476,Glenbeigh Community Council Limited,20075941,2013-10-29
A142,T5594984656630238640,Employment Development and Information Centre (Longford0 Limited,20058708,1999-11-09
A143,T6401634445697110701,Glenswilly N S,20116132,2011-11-23
A144,T121958757251250618,OBAIR Community Support DAC,20107901,2015-04-29
A145,T7223728979400580160,Ballintubber Resource Centre Limited,20054830,2002-12-19
A146,T4839148946959437752,Légion d'Honneur Ireland,20157357,2017-03-22
A147,T939602596022749293,Saint Wolstans Community School,20013882,2019-09-26
A148,T7428781955526897976,Offaly Integrated Local Development Company Limited,20072551,2007-12-05
