Appt,Name,Charity,Registered Number,Date
A586,T5845498943914380066,Cara Junior School,20139599,2011-09-01
A587,T5580685045413322098,Cardiac Risk in the Young in Ireland Limited,20047511,2002-07-01
A588,T8876352935650339888,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
A589,T3388506684001601401,Enable Ireland Disability Services,20006617,1993-06-30
A590,T4982728172418723065,Irish Rugby Football Union Charitable Trust,20010331,1999-06-25
A591,T9004945113729583612,C.b.s. Secondary School,20146184,2014-11-13
A592,T2485502712625545363,Employment Response Northwest Limited,20062880,2004-10-15
A593,T2485502712625545363,Leitrim Association For People With Disabilities,20034283,2013-10-10
A594,T4582698052596454747,Sn Naomh Samhthann,20115395,2016-04-13
A595,T2157194320996848538,Millstreet and District Housing Association Limited,20026349,1998-02-12
A596,T3739038731354750329,Ballinteer Community School,20148836,2014-08-01
A597,T7709351289325681792,Saint Patrick's College,20000066,2013-12-04
A598,T6663227034931168419,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
A599,T438009005260320413,Gleneely N S,20115784,2015-12-01
A600,T438067871688433137,Saint Paul's School-Navan,20017804,1999-11-30
A601,T8271055602236601674,Ronanstown Women's Community Development Project Limited,20075576,2014-09-27
A602,T4787154183207513581,Glencree Centre for Peace and Reconciliation,20009823,2017-09-15
A603,T3885569005282915323,Sn Mhuire (Ballyhooly),20114213,2015-12-01
A604,T417918398706934806,Irish Road Victims' Association,20100070,2012-09-15
A605,T5822564436948977293,Ballybunion Community Centre Limited,20021320,2016-11-01
A606,T5665110914479426343,Glencar Community Resource Trust Ltd,20041663,2000-01-20
A607,T6068370534132251389,Clonmel Baptist Church,20069100,2009-01-11
A608,T7729696556219787787,Sn Nicolais Naofa,20139117,2016-01-26
A609,T6896997770293911879,Abbey Theatre Amharclann Na Mainistreach,20038984,2017-05-25
A610,T3195268518679319555,Ronald McDonald House Charities (IRL),20037000,2019-04-01
A611,T4357871905810603536,Ronald McDonald House Charities (IRL),20037000,2019-03-29
A612,T4220206187449730068,Leim an Bhradain Housing Association Company Limited,20052461,2015-01-21
A613,T1198496487416304859,Dalystown N S,20137137,2016-01-19
A614,T5388301621281711302,Sn Iosef Naofa,20110857,2012-06-01
A615,T473377299349694773,Sn Na Leanai,20136642,2016-09-03
A616,T7762952636463855888,Ballybay Community Creche Company Limited by Guarantee,20064211,2009-09-22
A617,T2410723233580038721,Offaly Integrated Local Development Company Limited,20072551,2007-12-05
A618,T2272853475903818994,Ogonnelloe National School,20110710,2015-12-01
A619,T4929851988033972311,Saint Patrick's College,20000066,2014-09-30
A620,T562500970511776945,St. Joseph's Foundation,20016104,1994-04-11
A621,T7567270834115532547,Irish Progressive Association for Autism Limited,20066444,2005-11-16
A622,T2232999402769649157,Sn Mhic Dara,20122614,2015-11-26
A623,T8367533654373806573,Learning Hub Limerick Limited,20063436,2015-06-01
A624,T2187643485527960162,Ennis N S,20110536,2019-12-01
A625,T2187643485527960162,Offaly Money Advice and Budgeting Service Limited,20055745,2006-09-13
A626,T1891010534356981031,Clooncagh N S,20133627,2015-11-01
A627,T717176918812102051,Saint Patrick's College,20000066,2008-06-10
A628,T2260744099589704840,Employment Response Northwest Limited,20062880,2010-07-08
A629,T5185085532401012432,Cystic Fibrosis Registry of Ireland,20065638,2011-07-08
A630,T1915922914377545449,Saint Wolstans Community School,20013882,2017-08-01
A631,T1609452222126398089,Milltown N S,20109523,2011-12-01
A632,T2898152984814783664,Óglaigh Náisiúnta Na hÉireann Cuideachta Faoi Theorainn Ráthaíochta,20044268,2017-09-23
A633,T6444744487502020227,Leitrim Association For People With Disabilities,20034283,2016-10-04
A634,T3312060644069345809,Leighlinbridge Housing Association Ltd,20062750,2016-06-11
A635,T5069011858639061433,Clonmany Mental Health Association Company Limited by Guarantee,20153694,2014-07-03
A636,T2774633215746604438,Ballinrobe Community School,20149314,2016-08-31
A637,T4321134477359667316,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
A638,T7250793106118192285,C.H.A.F. Limited,20076467,2006-12-12
A639,T5263363748135325272,Enactus Ireland,20080075,2013-04-10
A640,T1096628938689538051,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
A641,T3634864792897769761,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,1995-10-31
A642,T1039993897539837828,Leamy Endowments.,20002787,2014-05-18
A643,T9044183159775994972,Legionaries Of Christ,20008420,2017-01-01
A644,T445378523297791953,Oaklee Housing,20044589,2013-10-30
A645,T2121240306953971106,Irish Seed Saver's Association Ltd,20045029,2013-04-13
A646,T5258494598762108416,Roscommon S P C A,20072735,2017-10-12
A647,T6826983763231098225,Irish Racehorse Trainers Benevolent Fund Assoc.,20031428,1994-09-01
A648,T4506933171058541434,Glin Day Care Centre Limited,20074395,2012-12-01
A649,T4506933171058541434,Glin Homes for the Elderly Limited,20052126,2002-10-03
A650,T8553046142552246034,Enniscrone N S,20134198,2015-12-07
A651,T6721771539861785692,Cappatagle Central Sch,20122522,1979-09-01
A652,T6258902160037523981,Enclude Company Limited by Guarantee,20064006,2018-01-29
A653,T7334528458820938376,Ballybeg Community Development Project Company Limited by Guarantee,20031992,2013-03-20
A654,T3312465187811446805,Obair Newmarket-On-Fergus Limited.,20026738,2010-04-14
A655,T5241965830952440423,Sn Na Leanai,20136642,2016-09-03
A656,T8699500526395460103,A Pint a Month,20074272,2009-08-29
A657,T4850044868046215148,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
A658,T1904128575101707405,Roscara Housing Association Limited,20032586,2001-01-20
A659,T8657009465363745218,Leighlinbridge Community Childcare Limited,20063771,2005-09-29
A660,T3928608596499944284,Saint Patrick's National School - Crossmolina.,20018306,2015-12-07
A661,T2878399654877417532,A Little Lifetime Foundation,20031688,2000-05-01
A662,T1384847969801241113,Roscommon Safe Link Limited,20077518,2011-06-13
A663,T8040945807023912032,Offaly Domestic Violence Support Service,20038021,2014-09-02
A664,T4336555024936720528,Glenswilly N S,20116132,2011-11-23
A665,T5636990652339280564,Miltown Malbay Development Company Limited By Guarantee,20159382,2017-04-11
A666,T8501417375941519524,Roscommon Friendly Call Service,20165390,2013-12-05
A667,T8533527649131203209,Saint Peter's National School - Drogheda.,20018504,2015-11-17
A668,T405192082104735543,Irish Rule of Law International,20073541,2015-06-30
A669,T8974234939686849769,Caoimhin Naofa N S,20139018,2015-12-01
A670,T4088589478892797681,Cloonfour N S,20133337,2017-10-26
A671,T4216989771701913488,Cloonfad Playground,20158286,2017-05-14
A672,T3314693111010945052,Daingean Community Childcare Services Limited,20059767,2015-05-12
A673,T2126859156179214312,Glendalough and District Development Association,20039318,2016-05-17
A674,T7101436743238080508,Sn Mhuire (Ballyhooly),20114213,2015-12-01
A675,T6388431000189189260,Cappagh Orthopaedic Hospital Research & Development Foundation,20023201,2015-05-10
A676,T7375498959818850153,Carbally community Development project,20141240,2016-08-01
A677,T5959600227357936267,C.J. Kickham Band Limited,20048624,2016-04-25
A678,T3939145821968717903,Enable Ireland Disability Services,20006617,2019-05-08
A679,T3451715316908364585,Leamy Endowments.,20002787,2014-07-22
A680,T8443904734921285937,Abbeydorney/Kilflynn Family Resource Centre Limited,20074968,2011-06-23
A681,T456636034011061870,Ballybay Central NS,20132460,2016-02-09
A682,T4273048668412996234,Daingean Social Services.,20019570,2014-04-02
A683,T5476033610465818163,C.A.S.A. Break Houses.,20027599,2000-04-07
A684,T5472211980151554025,Ennis Schools Completion Programme Limited,20080631,2012-06-26
A685,T6140812862127706650,Misean Cara,20055325,2015-05-27
A686,T4531020297430291809,Saint Peters College.,20001681,2015-11-23
A687,T8126914798736858179,Leitrim Association For People With Disabilities,20034283,2017-10-03
A688,T4211259461363547305,Ballinode Catering and Services Limited,20039523,2016-08-25
A689,T5753521528914931804,Ennis Old Folks Club.,20011611,2017-09-01
A690,T596566133480199859,Irish Refugee Council,20025724,2012-03-24
A691,T5574239782137721707,Clonmel Community Parent Support Programme,20045227,2006-01-30
A692,T6242770573142172039,Clontibret Development Association,20057589,2012-08-01
A693,T639192693811048741,Offaly Association for People with an Intellectual Disability,20017279,2008-12-12
A694,T2712616916035783302,22Q11 Ireland Support Group Limited,20066109,2014-10-01
A695,T4804101777769707610,Irish Second-Level Students' Union CLG,20141868,2019-07-08
A696,T4397661495065895875,Legal Aid Board,20012489,2016-11-08
A697,T2214634379149138065,Cloone/ Aughavas Community Childcare Limited,20045999,2015-09-21
A698,T4569252950544127955,C.D.A. Trust,20047597,2015-12-07
A699,T6883588281197384091,Milltown Childcare Centre Company Limited by Guarantee,20029883,2014-11-01
A700,T1338219610021574414,Irish Social Finance Centre Ltd.,20039998,2013-12-12
A701,T1235451913809864244,Ennis N S,20110536,2015-11-03
A702,T2039021020697085863,Enniscrone N S,20134198,2015-12-07
A703,T7408568794575079394,Gleneely N S,20115784,2015-12-01
A704,T3279126402196873132,22Q11 Ireland Support Group Limited,20066109,2015-10-01
A705,T8716566018096805430,Cara Junior School,20139599,2016-09-01
A706,T2769870340142995118,Sn Naomh Samhthann,20115395,2016-02-03
A707,T4285762256085786207,Saint Patrick's Loreto Primary School-Bray,20014322,2015-12-01
A708,T6013110439721333199,Dalkey N S (2),20118181,2015-12-01
A709,T8012385570982908229,Ballinode Catering and Services Limited,20039523,2011-05-19
A710,T384969080128846784,Sn Paroiste Maitiu Nfa,20117139,2016-02-08
A711,T852033186861354340,A-Z Children Limited,20053406,2015-02-14
A712,T6383591920570241299,Irish Progressive Association for Autism Limited,20066444,2015-06-16
A713,T199526838302029370,Clooniquin N S,20133849,2016-02-04
A714,T7565640385317529463,Legion Of Mary-Limerick,20020910,2016-12-01
A715,T8091810449097660268,Milltown Housing Association Limited,20038397,1998-03-06
A716,T8937527437063805043,OBAIR Community Support DAC,20107901,2014-04-16
A717,T2542308897705740768,Vincentian Fathers,20016678,2018-11-08
A718,T5288798469321487004,Ennis Schools Completion Programme Limited,20080631,2012-06-26
A719,T5288798469321487004,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
A720,T3294733161342359639,Clontubrid Mixed N S,20125356,2019-12-01
A721,T4124804326950397913,Saint Raphael's Parents and Friends Association,20009960,1995-08-01
A722,T5042694822126666946,Saint Paul's Area Development Enterprise CLG,20021788,2015-05-25
A723,T6948878022501853412,Missing in Ireland Support Service Limited,20057879,2016-01-16
A724,T787647977067093257,Canteen Ireland,20032180,2001-05-28
A725,T7086749608348194579,Legal Aid Board,20012489,2016-11-08
A726,T2982569713660964764,Missionary Sisters Servants Of The Holy Spirit-Maynooth,20017316,2013-03-22
A727,T6748429640034823575,St. Joseph's Girls National School,20112073,2015-12-07
A728,T1937447059291119017,Sn M An Croi Gan Smal,20122348,2019-12-05
A729,T3992627259690594651,Sn Sailearna,20121082,2001-02-19
A730,T522766593820595745,Clooncagh N S,20133627,2017-09-01
A731,T7157365198055296542,Roscara Housing Association Limited,20032586,1999-05-31
A732,T1427944952762647095,Clonmacnois Faith Heritage Trust,20077570,2011-05-12
A733,T1247505773194657423,C.B.S.,20148287,2015-10-18
A734,T7961045104621488241,C.b.s. Secondary School,20146184,2014-11-13
A735,T5385224633495478572,Irish School Of Ecumenics,20009359,2015-05-19
A736,T797606764274648211,Scoil Phádraig,20016135,2015-03-02
A737,T6275893299291261028,80:20 Educating And Acting For A Better World Limited,20034221,2017-12-11
A738,T735862792233118955,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
A739,T4381056566044063433,Leargas - The Exchange Bureau.,20020330,2012-07-01
A740,T5586437078574908051,Oakdene House Ltd,20024536,2015-06-16
A741,T3352617892788787063,Ballivor Community Childcare Limited,20047702,2010-01-01
A742,T986859875440941278,The Bryan Guinness Charitable Trust CLG,20006174,1971-10-22
A743,T4804688733801623875,C.b.s. Thurles,20148409,2017-11-15
A744,T5902595638666912679,Saint Ultan's Childcare Project Limited,20070038,2015-11-10
A745,T1884423666763290873,Cloontagh Mixed N S,20128388,2016-01-18
A746,T4190717499923900398,Saint Patrick's National School-Drogheda,20023232,2015-12-10
A747,T186605573754921296,Sn Na Croise Naofa,20115982,2015-11-26
A748,T7486698568386810059,22Q11 Ireland Support Group Limited,20066109,2015-10-01
A749,T868679136780039690,Cappatagle Central Sch,20122522,2015-12-10
A750,T8370792182459138729,C.b.s. Roscommon,20148164,2013-09-01
A751,T2859327518938981195,Leave No Trace (Ireland),20082178,2018-07-02
A752,T2840466120563924526,1st Edenderry B.P. Scouts,20164034,2013-09-12
A753,T6771093373514456638,Ballintotas N S,20112929,2019-12-02
A754,T3145079903981067373,Clonown N S,20133641,2015-12-10
A755,T296712859797623000,Ennis Schools Completion Programme Limited,20080631,2012-06-26
A756,T1691609870515927529,Milltown Childcare Centre Company Limited by Guarantee,20029883,2019-02-26
A757,T3802541017846044327,Cardiac Risk in the Young in Ireland Limited,20047511,2002-07-01
A758,T3868204618241798148,C.F.  Shaw Trust.,20006600,2009-01-01
A759,T1938696110268392733,Dalkey Irish Heritage Town Company Limited,20026363,2015-04-21
A760,T2239809085326081013,Salesian Congregation of Don Bosco- Ireland,20007126,2017-08-07
A761,T8153939767687727951,Ballintubber N S,20133634,2015-12-08
A762,T6340644555139821396,Salesian Congregation of Don Bosco- Ireland,20007126,2017-08-06
A763,T6360301059067268404,Ballintotas N S,20112929,2019-12-02
A764,T3484921311335675887,Sn Na Croise Naofa,20115982,2015-11-26
A765,T80196191162396783,Salesian Congregation of Don Bosco- Ireland,20007126,2014-05-30
A766,T2757133065081085061,Missionaries of Africa (white Fathers) Company Limited by Guarantee,20008864,2015-10-02
A767,T5881943585522708217,Ballintogher N S,20134075,2018-09-03
A768,T8228437414307761316,Offaly Centre for Independent Living,20043568,2007-02-26
A769,T2684057603242196954,Empowerment Plus Limited,20074043,2019-08-13
A770,T4558193349097932135,CAP - Care After Prison Company Limited by Guarantee,20081003,2015-06-01
A771,T7064096268066285672,Ballintleva N S,20133979,2015-11-19
A772,T2641179330771849047,Irish Society for Autism,20008529,2001-10-06
A773,T2641179330771849047,Irish Society for Autism Housing Association Limited,20065140,2006-08-25
A774,T4635294108003646505,Cystinosis Foundation Ireland Limited,20053796,2003-06-06
A775,T783960998052159767,Ogonnelloe National School,20110710,2015-12-01
A776,T4018297581915059018,Glencorrib N S,20130350,2015-12-01
A777,T3171595224309866855,Milltown Community Care Association,20026219,2000-11-01
A778,T8906207429190777457,Milltownpass N S,20137168,2015-12-01
A779,T6339933078962756946,Offaly School Of Special Education,20140588,2015-12-01
A780,T534982333123743407,Leitrim Arts Development Ltd,20060565,2017-01-01
A781,T5691657752439542014,Clonmel Voluntary Housing Association Limited,20023812,1989-04-24
A782,T6142068451363952466,Abbeydorney Development Company CLG,20150129,2004-04-28
A783,T3298556654541523018,Ballintubber Abbey Trust DAC,20030650,1995-05-05
A784,T3555737315418506879,Ballintubber N S (Mayo),20129330,2016-10-01
A785,T3646353733340898955,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
A786,T6095538902155136129,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
A787,T5739809885865192398,Scoil Phádraig,20016135,2016-11-01
A788,T6755810295588043926,Energy Action Limited,20024109,1950-01-21
A789,T4136160521676234394,Roscommon Lions Community Youth Centre Limited,20066277,2008-07-10
A790,T5093321252664536580,Ballintubber Resource Centre Limited,20054830,2002-12-19
A791,T3047466246979281005,Sn Nicolais Naofa,20139117,2016-01-26
A792,T4193772555448571875,Millstreet and District Housing Association Limited,20026349,1999-02-22
A793,T8898808378774377080,Offaly Heritage Centre Limited,20025953,1992-06-08
A794,T4770362076425034072,Legal Aid Board,20012489,2016-11-08
A795,T2575650939266821128,Saint Ultan's Childcare Project Limited,20070038,2014-09-01
A796,T8552199031504607270,Dalkey Community Pre-school Group,20055899,2008-02-22
A797,T1210616500110818765,End Time Reform Ministry,20045906,2010-04-01
A798,T4020151197126456510,Clonmacnois Faith Heritage Trust,20077570,2011-05-12
A799,T4020151197126456510,Irish School of Evangelisation,20070847,2015-01-01
A800,T1358222787718562864,Caragh N S,20124816,2015-12-10
A801,T5065798235600715825,Sn M An Croi Gan Smal,20122348,2015-12-01
A802,T2076112895475008949,Ballintubber Abbey Trust DAC,20030650,2002-04-30
A803,T5204277294544915996,Ballintubber N S (Mayo),20129330,2016-10-01
A804,T2099911344680443056,Leave No Trace (Ireland),20082178,2018-12-04
A805,T8958713887290112939,Offaly Centre for Independent Living,20043568,2016-11-30
A806,T9196738273181549163,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,2017-06-20
A807,T6242280925961348960,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
A808,T6767183736054695356,Leebeen Park Development CLG,20054021,2004-12-22
A809,T9173020611009672909,Ennis Schools Completion Programme Limited,20080631,2015-02-12
A810,T7573564922513805740,Enable Ireland Disability Services,20006617,2019-05-08
A811,T7668694266074408897,Roscara Housing Association Limited,20032586,2013-01-01
A812,T1536205064072044077,Global Action Plan CLG,20053338,2015-06-08
A813,T16046792656713122,Oak Language Centres Limited,20032999,2013-05-30
A814,T16046792656713122,Dal Riada Language Centre Limited,20032982,2013-05-30
A815,T3635242975203333493,Sn Mhuire (Ballyhogue),20138400,2016-09-01
A816,T4756100838466225197,Offaly Protestant Orphan Society.,20003319,2007-10-03
A817,T2009467021634339414,Clonmany Enterprise Development Limited,20032135,2004-04-01
A818,T2205896623366104817,Roscommon Lions Community Youth Centre Limited,20066277,2008-07-10
A819,T172902914838497089,Enactus Ireland,20080075,2013-01-16
A820,T5791687257144945293,Ballyadams N S,20126063,2015-12-14
A821,T2446176872137644902,Roscommon County Childcare Committee,20058623,2014-05-14
A822,T300867840120435637,Saint Paul's Area Development Enterprise CLG,20021788,2014-04-23
A823,T1336171043311813803,Ballinrobe Family Resource Centre Limited,20061456,2016-03-08
A824,T6536148043619146381,Glencorrib N S,20130350,2015-12-01
A825,T7880276016346447925,Cardiac Risk in the Young in Ireland Limited,20047511,2010-03-01
A826,T8595961476150026382,Ballintubber N S,20133634,2019-12-20
A827,T5681751875689526323,Saint Philomena's National School,20019310,2015-12-01
A828,T6548498688651755473,Glenswilly N S,20116132,2011-11-23
A829,T9016085603024030349,Saint Patrick's National School - Crossmolina.,20018306,2015-12-07
A830,T1444655105884362627,Sn Iosef Naofa,20110857,1997-12-15
A831,T6015393989694957309,St. Johnston/ Carrigans Resource Group Limited.,20037420,2012-03-26
A832,T5129168869313445694,Caoga Senior Citizens Social Club,20058555,2007-01-01
A833,T2007386678556961703,Clonmel Community Parent Support Programme,20045227,2004-02-25
A834,T7596833569282208673,Glenbeigh Community Council Limited,20075941,2000-10-09
A835,T7596833569282208673,Glenbrohane Community Association,20141790,2015-01-01
A836,T2093539290306428348,Sn Nicolais Naofa,20139117,2016-01-26
A837,T6872977638683126385,Dalkey Irish Heritage Town Company Limited,20026363,2015-04-21
A838,T9039507760482196159,Ballivor Community Childcare Limited,20047702,2014-01-01
A839,T4295532695607434697,Mills and Millers of Ireland,20048600,2015-10-10
A840,T780310912560262743,Cappamore Housing Association Company by Limited Guarantee,20066840,2007-02-14
A841,T2444235319827646357,Óglaigh Náisiúnta Na hÉireann Cuideachta Faoi Theorainn Ráthaíochta,20044268,2012-06-16
A842,T5795405958481305981,Roscommon County Citizens Information Service Limited,20048815,2015-12-16
A843,T6178512315892128559,Sn Iosef Naofa,20110857,2015-11-30
A844,T8930121151610946943,Ennis Old Folks Club.,20011611,2017-09-01
A845,T4447548143903797055,St. Joseph's Boyle Pastoral Council CLG,20058166,2016-03-01
A846,T2577474808816656051,C.H.A.F. Limited,20076467,2019-01-01
A847,T1554263907089706353,Glengad Community Association Limited,20039509,2000-02-17
A848,T6160817023294313133,Clonmany Enterprise Development Limited,20032135,1999-03-19
A849,T8073970065728266523,Mills and Millers of Ireland,20048600,2015-10-10
A850,T2999554823069080892,Saint Ultan's Childcare Project Limited,20070038,2008-11-10
A851,T6889105012160676535,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
A852,T3970594127453358115,Irish Primary Principals' Network Limited,20063634,2014-11-13
A853,T3353062422292790666,Ogonnelloe National School,20110710,2015-12-01
A854,T2554942409316181391,Rosbrien Suicide Awareness Group,20046880,2004-02-01
A855,T1050594489169854096,Ballybay Central NS,20132460,2017-09-01
A856,T564881814653975219,Milltown N S,20109523,2011-12-01
A857,T1568393411386438553,Roscommon Lions Community Youth Centre Limited,20066277,2008-07-10
A858,T4397875558513149060,Glenfarne Community Development Trust Limited,20049355,2017-03-29
A859,T713276059953042870,Glenealy I.T. Centre Limited,20042882,1998-10-21
A860,T2302784287259608271,Ballybay Central NS,20132460,2016-02-09
A861,T1838843327170164018,Rosary College,20145811,2016-10-24
A862,T5545313510358925695,Clooniquin N S,20133849,2016-09-01
A863,T6092944472888419608,Irish Rule of Law International,20073541,2017-07-26
A864,T5923171020521990430,Rooskey N S,20133207,2015-12-08
A865,T9101157518508302788,Irish Primary Principals' Network Limited,20063634,2014-11-13
A866,T287513605364079895,Saint Ultan's Childcare Project Limited,20070038,2008-11-10
A867,T7415180997442630818,Ennistymon National School,20111250,2015-12-08
A868,T384529279037163397,Learning Hub Limerick Limited,20063436,2008-06-01
A869,T4161575963954372425,Enniskerry Select Vestry,20005917,2015-04-14
A870,T1225319421899892777,Enactus Ireland,20080075,2016-09-13
A871,T5513356781681633510,Roscrea N S No 2,20134839,2016-12-01
A872,T1734624152880112423,Irish Practice Nurses Association,20067700,2017-10-14
A873,T2558813166402447127,Roscrea N S No 2,20134839,2016-12-01
A874,T6874120465107936982,Irish Search Dogs Association,20078607,2012-04-10
A875,T5629203991359808727,Milltown Childcare Centre Company Limited by Guarantee,20029883,2016-10-17
A876,T5696934186910612061,1428 CLUB,20043735,2009-04-16
A877,T1418393411356916318,Saint Philips Church - Milltown.,20003104,2014-04-01
A878,T4492006508480064282,Cystic Fibrosis Registry of Ireland,20065638,2011-07-08
A879,T228240149346296735,Roscarbery Con N S,20112868,2015-11-10
A880,T5988493196074159129,Legal Aid Board,20012489,2016-11-08
A881,T8511348945311022913,Glenbrohane Community Association,20141790,2015-01-01
A882,T911762095669939878,Enfield Development Group,20159030,2016-07-07
A883,T911762095669939878,Enniscrone N S,20134198,2015-12-07
A884,T7342593998623456558,Légion d'Honneur Ireland,20157357,2017-03-22
A885,T5603091033299019273,Abbey Theatre Amharclann Na Mainistreach,20038984,2016-10-24
A886,T5965836753498494464,C.R.O.S.S.,20052850,2017-01-01
A887,T392105477049813319,22Q11 Ireland Support Group Limited,20066109,2007-10-17
A888,T8551023314236134242,Ballybunion Community Centre Limited,20021320,2016-11-01
A889,T4855957151685206624,Cloughjordan Active Retirement Association (C.A.R.A),20051563,2016-02-02
A890,T6420398171390795820,Ognisko Polskie CLG,20013271,1986-04-24
A891,T4586278276996724831,C.b.s. Secondary School,20146184,2014-11-13
A892,T8941746210860266974,80:20 Educating And Acting For A Better World Limited,20034221,2015-01-06
A893,T548272660221523212,Irish Refugee Council,20025724,2014-03-19
A894,T1461425971265748157,Enniskerry Select Vestry,20005917,2015-04-14
A895,T1301630080432564310,Glenmaquin No 2 N S,20114794,2015-12-02
A896,T3312927184739459679,Caoimhin Naofa N S,20139018,2015-12-01
A897,T8529356543215438062,Sn Muine Mhea,20122416,2011-11-01
A898,T3846662337399664636,Saint Peter's National School - Drogheda.,20018504,2015-11-17
A899,T1144819932017399594,Enniskerry Select Vestry,20005917,2016-04-16
A900,T2400221154018387406,Min A Ghabhann N S,20115265,2015-11-02
A901,T8469563232623205386,Offaly Heritage Centre Limited,20025953,2017-05-18
A902,T4670841733665270452,Ennistymon National School,20111250,2015-12-08
A903,T7718419419015445416,Milltown Community Care Association,20026219,2000-11-01
A904,T477767888742333360,Damer And Fortick Charity,20003074,2009-06-19
A905,T7048284373143298213,Dalkey Meals-On-Wheels,20014148,2016-05-31
A906,T4921210888581937398,Irish Premature Babies,20076740,2017-10-26
A907,T203253045208728746,Clonmel And District Wheelchair Society,20023805,2016-04-28
A908,T6145198150349870672,Ballon Rathoe Childcare Facility Limited,20074289,2009-04-03
A909,T2575328532171720471,Ballybay Central,20134013,2015-12-01
A910,T1958460302636470889,Capacitar Ireland Limited,20059811,2019-09-23
A911,T6090769098060512726,Ennistymon National School,20111250,2015-12-08
A912,T1430401049858926132,Offaly County Childcare Committee Limited,20049782,2016-07-21
A913,T8511965517635430536,Glinsk Community Childcare Limited,20072315,2016-10-05
A914,T3804204185173379729,Boher Community Development Association,20154943,2014-02-05
A915,T5851788058710997979,Leim an Bhradain Housing Association Company Limited,20052461,2013-07-26
A916,T8700453994583794310,Offaly Heritage Centre Limited,20025953,2011-01-01
A917,T4013140592917078807,Saint Philips Church - Milltown.,20003104,2014-04-01
A918,T3942141137706618292,Dalkey School Project Trust,20010386,1979-08-14
A919,T2528962841348273715,Cara Junior School,20139599,2016-09-01
A920,T6221593852636129691,St. Joseph's National School (Mulhussey),20131661,2015-10-22
A921,T6688339675729665337,Clonmany Agricultural Sheepdog Association Limited,20054151,1999-08-06
A922,T5164850694193801045,Ballybay Central,20134013,2015-12-01
A923,T7159080007958691659,Leargas - The Exchange Bureau.,20020330,2012-07-01
A924,T6605414262174196394,Saint Patrick's College - Cavan.,20016326,2014-10-14
A925,T34410452018698711,Saint Philips Church - Milltown.,20003104,2014-04-01
A926,T8127164550689560237,Clonmany Enterprise Development Limited,20032135,2006-10-23
A927,T6272605302657898083,Clonmel Baptist Church,20069100,2013-03-23
A928,T2621254106832137534,Offaly Hospice Foundation Limited,20025540,1991-06-07
A929,T1734809175268780875,Saint Peter's National School - Drogheda.,20018504,2016-11-22
A930,T1631233372741202760,St. Johns Senior National School,20138738,2015-09-01
A931,T1806475561198685721,Missionaries of Africa (white Fathers) Company Limited by Guarantee,20008864,2006-09-01
A932,T6384775817335854712,Saint Paul's Area Development Enterprise CLG,20021788,2004-02-09
A933,T8980829155589134932,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,2016-06-26
A934,T3090448419383491105,Ballinode Community Projects Limited,20055806,2014-09-01
A935,T6491969407375458027,Carbery Housing Association Company Limited by Guarantee,20048174,2015-09-21
A936,T1343880835224266209,TU Dublin Foundation,20045807,2017-03-31
A937,T2279395191485447560,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
A938,T3245416781727948288,Abbeycarton Ns,20134037,2015-12-04
A939,T3323995904490120024,Offaly Domestic Violence Support Service,20038021,2014-09-02
A940,T8763147723802566704,Dalkey Community Pre-school Group,20055899,2015-11-04
A941,T3281176181332674865,Cloonfad N S,20133535,2016-11-01
A942,T7456009939473846892,Ennistymon National School,20111250,2016-10-27
A943,T7562554490894510124,Leitrim Animal Welfare,20045357,2002-04-05
A944,T81278667979438827,Daar-E-Arqam Trust,20076009,2011-03-08
A945,T9080673306843165134,Min A Ghabhann N S,20115265,2015-11-02
A946,T7809303732174917226,Saint Peters Schools and Mrs. Wrays Schools.,20002213,2016-04-03
A947,T5899823466856361863,C.A.R.I. Foundation - Children at Risk in Ireland,20023751,2016-01-28
A948,T294613534801358491,Leitrim Association For People With Disabilities,20034283,2009-11-30
A949,T61044505781493258,St. Joseph's National School (Mulhussey),20131661,2015-10-22
A950,T1605852569028448806,Saint Philips Church - Milltown.,20003104,2014-04-01
A951,T1224716549209725452,Abbeycarton Ns,20134037,2015-12-04
A952,T5737562598488036791,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
A953,T300072048891781872,Leargas - The Exchange Bureau.,20020330,2017-09-14
A954,T7151773008928482455,Irish Scouting Fellowship,20080846,2015-12-16
A955,T1631447807803452780,Carbery Housing Association Company Limited by Guarantee,20048174,2014-06-06
A956,T8483644101543894992,MILLTOWNPASS COMMUNITY ACTION GROUP,20143169,2003-06-09
