Name,Charity,Registered Number,Date
T3200977152329665955,Carbery Housing Association Company Limited by Guarantee,20048174,2017-04-18
T1203317272646450839,Sn Seamus Naofa,20122577,2015-12-01
T4130038813544731704,Sn Na Croise Naofa,20115982,1985-10-27
T4099076364220317625,Offaly Society For The Prevention Of Cruelty To Animals Limited,20033828,2007-06-01
T4127622902937838371,Sn Na Croise Naofa,20115982,2015-11-26
T4964117978834610736,Irish Road Victims' Association,20100070,2018-03-18
T1259251529828487929,Irish Progressive Association for Autism Limited,20066444,2018-05-25
T4394891433200728052,Canteen Ireland,20032180,2015-09-12
T864569021188704994,Ballybeg Community Development Project Company Limited by Guarantee,20031992,2017-11-29
T3898021158347317651,Ballinode Catering and Services Limited,20039523,2016-06-20
T7024893292510348924,Canteen Ireland,20032180,2015-09-15
T6169729979949084180,Irish Red Cross Society,20005184,2015-06-13
T5888727200742135277,Misean Cara,20055325,2016-11-03
T1628697391646747322,Óglaigh Náisiúnta Na hÉireann Cuideachta Faoi Theorainn Ráthaíochta,20044268,2016-09-15
T3187089642080301412,1st Edenderry B.P. Scouts,20164034,2008-03-05
T5870746547434645895,Sn N Sailbheastar Nfa,20118969,2007-12-01
T4420689765433656368,A LUST FOR LIFE,20157913,2017-03-22
T8117061582799446786,C.A.R.I. Foundation - Children at Risk in Ireland,20023751,2013-11-22
T802823180929135067,Ballintubber N S (Mayo),20129330,2016-10-01
T802823180929135067,Ballintubber Resource Centre Limited,20054830,2002-12-19
T3323690664213245592,Roscommon Home Services Co-operative Ltd,20056827,2012-07-31
T8970416265705638920,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
T7561722316668497752,C.H.A.F. Limited,20076467,2019-01-01
T463052868400209400,Leave No Trace (Ireland),20082178,2014-03-20
T9009545624961735716,22Q11 Ireland Support Group Limited,20066109,2015-10-01
T3522710286477168916,Saint Patrick's National School - Crossmolina.,20018306,2015-12-07
T599171708158373077,St. Joseph's Girls National School,20112073,2015-12-07
T6682612702004891695,Legion Of Mary-Limerick,20020910,2015-10-01
T7488615452976222154,Irish Skin Foundation,20078706,2011-01-17
T232263887685539560,Sn N Sailbheastar Nfa,20118969,2015-12-01
T181340022276424304,Ennis Book Club Festival CLG,20153748,2016-09-01
T7701268675119806142,Dalkey Irish Heritage Town Company Limited,20026363,2014-06-14
T2565251279426651536,St. Joseph's Foundation,20016104,2009-10-19
T2174588082332497425,Ballinrobe Community School,20149314,2016-08-31
T3244409964556867750,Glencorrib N S,20130350,2015-12-01
T214838811959048573,Offaly Integrated Local Development Company Limited,20072551,2007-12-05
T7717441399720104502,Irish Primary Principals' Network Limited,20063634,2014-11-13
T1119423873303543440,Clonmel Voluntary Housing Association Limited,20023812,2016-12-01
T8420307867366483461,C.H.A.F. Limited,20076467,2006-12-12
T6608975304604056752,Cloonacool N S,20134105,2015-12-01
T8927529316493718510,Cappoquin Red Bridge Company Limited,20076603,2011-02-03
T3937403610227099459,Abbeydorney Development Company CLG,20150129,2004-01-28
T8741098534315090471,Ballyadams N S,20126063,2015-12-14
T6725672537435607690,Oakdene House Ltd,20024536,1995-01-31
T635459928731943599,Miltown Malbay Development Company Limited By Guarantee,20159382,2017-04-11
T4243410225331799738,Enniscorthy Swimming Pool Complex.,20016432,1986-10-14
T2412295077753340800,Sn Naomh Samhthann,20115395,2016-02-03
T1830401569982433017,Clonmore Community Centre Ltd,20076276,2010-06-14
T8276933872837306692,Clonmany Agricultural Sheepdog Association Limited,20054151,1999-08-06
T4619255265844426884,Abbeydorney Development Company CLG,20150129,2004-01-28
T4985904368893147181,Daisyhouse Housing Association Ltd,20024185,2019-03-04
T2774813590304439171,Clonmany Enterprise Development Limited,20032135,2004-04-01
T6938641192757302185,Clonmany Enterprise Development Limited,20032135,1999-03-19
T7151287983766592654,Glencree Centre for Peace and Reconciliation,20009823,2017-09-15
T2980501000849990463,St. Joseph's Girls National School,20112073,2016-09-26
T7923596901036198418,Offaly Heritage Centre Limited,20025953,1992-06-08
T8193709829972079587,Sn Paroiste Maitiu Nfa,20117139,2015-11-19
T6053297435746619709,Oatlands College,20144999,2018-10-01
T4761113827818976262,Irish Red Cross Society,20005184,2014-06-24
T4761113827818976262,Clonmel Youth Training Enterprises Ltd,20037017,2016-08-08
T4294117045534176299,Dalkey Irish Heritage Town Company Limited,20026363,1999-04-19
T1159166916455634422,Saint Paul's Area Development Enterprise CLG,20021788,2002-03-01
T4738297061567327763,Irish Rule of Law International,20073541,2009-11-06
T6039042502747692425,Ronald McDonald House Charities (IRL),20037000,2005-10-14
T2973586144511152007,Abbey Presbyterian Church,20000608,1979-02-18
T5442623608374896394,C.b.s. Secondary School,20146184,2014-11-13
T7251473890645054383,Sn Seamus Naofa,20122577,2015-12-01
T2408349666432532419,Saint Patrick's National School-Drogheda,20023232,2015-12-10
T3286408758218757732,Ballinteer Community School,20148836,2014-08-01
T6997777882852930082,Abbeydorney/Kilflynn Family Resource Centre Limited,20074968,2008-03-05
T6084371108773236289,Glenbeg N S,20136598,2013-09-01
T5660673326956181163,Irish Quaker Faith in Action,20019822,2019-03-02
T8090653425645568631,Milltownpass N S,20137168,2016-12-01
T7295149537198372043,Cardiac Risk in the Young in Ireland Limited,20047511,2012-09-01
T3240615531288755373,Saint Peters Parish Almshouse Charity-Dublin,20022976,2018-04-30
T5894062067274967793,2nd Ray Presbyterian Church- Manorcunningham.,20000561,2014-04-13
T4641743875602261939,Mission to Seafarers Ireland,20002299,2008-10-22
T3044805943903266364,Clontibret N S,20132033,2015-11-30
T7668363577387350275,Enable Ireland Disability Services,20006617,2017-02-02
T7668363577387350275,TU Dublin Foundation,20045807,2004-10-04
T841679788231705444,Irish School Of Ecumenics,20009359,2015-05-19
T6201982714407395067,2nd Ray Presbyterian Church- Manorcunningham.,20000561,1981-05-24
T2405731269022107789,Irish Quaker Faith in Action,20019822,2019-03-02
T2743055262057927193,Dalkey Irish Heritage Town Company Limited,20026363,2018-06-26
T3074136952435889387,Energy Action Limited,20024109,1991-08-21
T8854992256947365930,Glengad Community Association Limited,20039509,2000-02-17
T1077575872147884887,Saint Paul's Area Development Enterprise CLG,20021788,2015-03-25
T6447886781452969820,Glencrow Hall,20084042,2015-03-15
T3805446363515975868,Roscommon Heritage Group,20165697,2017-03-01
T3680407494875017389,Glenbeg N S,20136598,2015-12-01
T8363674307814895428,Clonmacnois Faith Heritage Trust,20077570,2011-05-12
T7489080500689721983,St. Johns Senior National School,20138738,2015-09-01
T3895491122515330952,Glencree Centre for Peace and Reconciliation,20009823,2017-09-15
T5854484180014441875,Ballinteer Community School,20148836,2008-09-01
T7871015805458983828,Roscommon Safe Link Limited,20077518,2011-06-13
T2283130222765590606,Damer And Fortick Charity,20003074,2009-06-19
T2283130222765590606,Damer & Fortick Residential Services Limited,20072728,2009-06-19
T7614687692291252730,Irish Primary Principals' Network Limited,20063634,2016-03-01
T3575926347433856412,Carbery Housing Association Company Limited by Guarantee,20048174,2015-07-24
T7575186995109192093,Dalkey School Project Trust,20010386,1979-08-14
T9156276728452025404,Saint Wolstans Community School,20013882,2017-08-01
T2287894842143874236,Ballinskelligs Inshore Rescue Ltd.,20063405,2006-08-04
T9141279816122617348,Sn Nicolais Naofa,20139117,2016-01-26
T8164633271467832592,Empowerment Plus Limited,20074043,2015-05-25
T7595244856408056172,Milltown Childcare Centre Company Limited by Guarantee,20029883,2012-10-17
T6573942526962678280,Glenbeg N S,20136598,2015-09-01
T2383533128211682322,Glenmaquin No 2 N S,20114794,2004-09-01
T5903599450809872644,Saint Paul's Area Development Enterprise CLG,20021788,2017-04-12
T8042235861218493791,Sn Mhuire (Ballyhogue),20138400,2016-09-01
T5531758598199990609,Leitrim Animal Welfare,20045357,2003-04-04
T7546462665849665870,St. Johns Senior National School,20138738,2015-09-01
T351629012212219932,Engineers Without Borders Ireland CLG,20158101,2013-12-10
T4704171156033140034,C.b.s. Thurles,20148409,2017-11-15
T8402865737655558933,Clooncagh N S,20133627,2015-11-01
T4359443366719624095,Milltown St Patricks Day Parade Group,20156794,2016-02-16
T6135830428896580458,Cloone/ Aughavas Community Childcare Limited,20045999,2015-09-21
T7330265701317899004,Legal Aid Board,20012489,2016-11-08
T9167685649956292368,Ballybeg Community Development Project Company Limited by Guarantee,20031992,2013-03-20
T6601664079544177258,Sn Nicolais Naofa,20139117,2016-01-26
T3555072332322894020,A-Z Children Limited,20053406,2015-03-23
T200514452798455344,Cardiac Risk in the Young in Ireland Limited,20047511,2014-09-01
T6941718308720949679,Cloonacool N S,20134105,2015-12-01
T3705752033627511782,Milltown St Patricks Day Parade Group,20156794,2016-02-16
T2764486396861222683,Cara Junior School,20139599,2016-09-01
T131258240315651800,Sn Mhuire (Ballyhooly),20114213,2015-12-01
T2031782433411116811,Oaklee Housing,20044589,2018-12-11
T3511337435935905561,Miscarriage Association Of Ireland,20024420,2011-09-15
T2272632727479286518,Sn Naomh Proinnsias,20130312,2015-12-01
T8734229053253430610,Leinster Printmaking Studio Limited,20037499,2009-02-01
T5991389929531389859,Clontubrid Mixed N S,20125356,2015-12-01
T6128345518377101204,Daisyhouse Housing Association Ltd,20024185,2012-02-13
T6128345518377101204,Cardiac Risk in the Young in Ireland Limited,20047511,2010-03-01
T4430291852367681929,Glengurt N S,20127251,2015-12-01
T3622690126929702474,Clonmel And District Wheelchair Society,20023805,2017-02-14
T1370973378159878540,Saint Patrick's College,20000066,2014-09-30
T4510308006486814186,Glendalough and District Development Association,20039318,1998-01-13
T1761964022178616937,Irish Racehorse Trainers Benevolent Fund Assoc.,20031428,2005-01-01
T4506573203626751087,Sn Mhuire (Ballyhooly),20114213,2015-12-01
T5512346427774834561,OBAIR Community Support DAC,20107901,2002-11-04
T8910905576117116205,Cappoquin Community Development Company Ltd.,20028121,1993-05-01
T8910905576117116205,Ballintleva N S,20133979,2015-11-19
T8563667679550075491,Abbeydorney Development Company CLG,20150129,2004-01-28
T8654676703305454199,Sn N Sailbheastar Nfa,20118969,2007-12-01
T2222050783184545262,Cappatagle Central Sch,20122522,2011-01-12
T7729126644338340910,Offaly School Of Special Education,20140588,2000-07-01
T4108909008263402269,Clonmore Community Centre Ltd,20076276,2010-06-14
T9109504870014560269,Abbeydorney/Kilflynn Family Resource Centre Limited,20074968,2008-03-05
T2162956362530071368,Irish Primary Principals' Network Limited,20063634,2016-01-04
T5781162972974810632,ABACAS Kilbarrack School Parents Group,20048037,2014-09-01
T5014775549464197433,Sn Na Croise Naofa,20115982,2015-11-26
T5491888658327664929,Enniskerry Select Vestry,20005917,2015-04-14
T3666364936678286575,Óglaigh Náisiúnta Na hÉireann Cuideachta Faoi Theorainn Ráthaíochta,20044268,2014-09-27
T8914211451124036501,Enniscrone N S,20134198,2015-12-07
T8596981082333801694,Sn N Breandain,20122263,2015-11-01
T8324085455561000171,Missing in Ireland Support Service Limited,20057879,2016-01-16
T9054962420719405266,Saint Philips Church - Milltown.,20003104,2019-05-07
T3353076575691558000,Missing in Ireland Support Service Limited,20057879,2016-01-16
T2741282294276085626,Abbeydorney Development Company CLG,20150129,2004-01-28
T4573601639544593793,Damer And Fortick Charity,20003074,2009-06-19
T4573601639544593793,Damer & Fortick Residential Services Limited,20072728,2009-06-19
T7080944116424482446,Irish Society for Autism,20008529,1995-03-24
T6736898056714472087,Rosary College,20145811,2016-10-24
T310021486771945674,Carbery Housing Association Company Limited by Guarantee,20048174,2001-09-25
T8187052270312724050,Sn N Breandain,20122263,2015-11-01
T8222491639316658097,Sn Seamus Naofa,20122577,2015-12-01
T1127132072258035741,Ballinrobe Civic Arts & Amenity Company Limited,20078133,2014-10-23
T2664628855794479361,Leargas - The Exchange Bureau.,20020330,2011-01-26
T5537303598496334,Enactus Ireland,20080075,2015-11-18
T5419589385515011052,C.D.A. Trust,20047597,2015-12-07
T6336117758981520864,Glencar Community Resource Trust Ltd,20041663,2000-01-20
T483261429501287547,Enactus Ireland,20080075,2014-10-08
T1079909091802297677,Oaklee Housing,20044589,2010-10-30
T7984786665068660126,2nd Ray Presbyterian Church- Manorcunningham.,20000561,2014-04-13
T9141519807860416351,Irish Second-Level Students' Union CLG,20141868,2012-04-13
T8507732985808219669,Enable Ireland Disability Services,20006617,2017-10-26
T9178066622579339759,Ronald McDonald House Charities (IRL),20037000,2017-06-20
T2341017664978064753,Saint Patrick's College,20000066,2004-06-15
T7105370408155265604,Irish Refugee Council,20025724,2016-06-15
T8293582462287648693,C.H.A.F. Limited,20076467,2019-01-01
T25289977211522425,Clonroche N S,20137731,2015-12-01
T6287147280561605069,Saint Ultan's Childcare Project Limited,20070038,2013-02-14
T1008924721840081050,Cloonloo Development 2000 Limited,20051273,2000-08-23
T2430490519750714695,Rooskey Development and Social Inclusion Group Ltd,20061364,2015-12-21
T2475997605944661445,Cara Junior School,20139599,2011-09-01
T8302615690125381617,Cardiac Risk in the Young in Ireland Limited,20047511,2002-07-01
T7393887933389798408,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
T8066689289373512435,Enable Ireland Disability Services,20006617,1993-06-30
T861807557098309332,Irish Rugby Football Union Charitable Trust,20010331,1999-06-25
T3314329588768965770,C.b.s. Secondary School,20146184,2014-11-13
T5907549677949740899,Employment Response Northwest Limited,20062880,2004-10-15
T5907549677949740899,Leitrim Association For People With Disabilities,20034283,2013-10-10
T4454121356358082873,Sn Naomh Samhthann,20115395,2016-04-13
T5949577421922355423,Millstreet and District Housing Association Limited,20026349,1998-02-12
T2933842804538336935,Ballinteer Community School,20148836,2014-08-01
T1630519124478732308,Saint Patrick's College,20000066,2013-12-04
T4118425812739663552,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
T4466960889929796735,Gleneely N S,20115784,2015-12-01
T1728103145487857011,Saint Paul's School-Navan,20017804,1999-11-30
T8456462921960851158,Ronanstown Women's Community Development Project Limited,20075576,2014-09-27
T7565204496950430510,Glencree Centre for Peace and Reconciliation,20009823,2017-09-15
T1913719832726768241,Sn Mhuire (Ballyhooly),20114213,2015-12-01
T8921379546183432047,Irish Road Victims' Association,20100070,2012-09-15
T8364648223206499820,Ballybunion Community Centre Limited,20021320,2016-11-01
T8381681374504011080,Glencar Community Resource Trust Ltd,20041663,2000-01-20
T6439982361461690108,Clonmel Baptist Church,20069100,2009-01-11
T2164459739000496601,Sn Nicolais Naofa,20139117,2016-01-26
T5379898381532231350,Abbey Theatre Amharclann Na Mainistreach,20038984,2017-05-25
T6886202624004463616,Ronald McDonald House Charities (IRL),20037000,2019-04-01
T1009640408927329328,Ronald McDonald House Charities (IRL),20037000,2019-03-29
T1912426937394757246,Leim an Bhradain Housing Association Company Limited,20052461,2015-01-21
T2243826963754439404,Dalystown N S,20137137,2016-01-19
T5654259407339807325,Sn Iosef Naofa,20110857,2012-06-01
T3023788971375651539,Sn Na Leanai,20136642,2016-09-03
T8942692068071300585,Ballybay Community Creche Company Limited by Guarantee,20064211,2009-09-22
T559299916518778373,Offaly Integrated Local Development Company Limited,20072551,2007-12-05
T2857846363953025657,Ogonnelloe National School,20110710,2015-12-01
T2479573990625282853,Saint Patrick's College,20000066,2014-09-30
T3009245741991229016,St. Joseph's Foundation,20016104,1994-04-11
T3568207350205034478,Irish Progressive Association for Autism Limited,20066444,2005-11-16
T754366691881371233,Sn Mhic Dara,20122614,2015-11-26
T5167478086440548218,Learning Hub Limerick Limited,20063436,2015-06-01
T6626899265903476043,Ennis N S,20110536,2019-12-01
T6626899265903476043,Offaly Money Advice and Budgeting Service Limited,20055745,2006-09-13
T4263446563075856315,Clooncagh N S,20133627,2015-11-01
T4908463066844966926,Saint Patrick's College,20000066,2008-06-10
T4712884470656776164,Employment Response Northwest Limited,20062880,2010-07-08
T2027842269127929007,Cystic Fibrosis Registry of Ireland,20065638,2011-07-08
T3259225807288961059,Saint Wolstans Community School,20013882,2017-08-01
T677662193453630862,Milltown N S,20109523,2011-12-01
T781922533364473486,Óglaigh Náisiúnta Na hÉireann Cuideachta Faoi Theorainn Ráthaíochta,20044268,2017-09-23
T2299878040220143110,Leitrim Association For People With Disabilities,20034283,2016-10-04
T3257781254878618838,Leighlinbridge Housing Association Ltd,20062750,2016-06-11
T240422925434847053,Clonmany Mental Health Association Company Limited by Guarantee,20153694,2014-07-03
T6716066369592629093,Ballinrobe Community School,20149314,2016-08-31
T1851439844870117413,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
T2234496121494363481,C.H.A.F. Limited,20076467,2006-12-12
T7230155818659604049,Enactus Ireland,20080075,2013-04-10
T1661712041149100250,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
T8920651261754911457,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,1995-10-31
T8360122078804679809,Leamy Endowments.,20002787,2014-05-18
T6828171586373151428,Legionaries Of Christ,20008420,2017-01-01
T664827748538494111,Oaklee Housing,20044589,2013-10-30
T6147678753245942343,Irish Seed Saver's Association Ltd,20045029,2013-04-13
T412019708506524221,Roscommon S P C A,20072735,2017-10-12
T6829869518619524616,Irish Racehorse Trainers Benevolent Fund Assoc.,20031428,1994-09-01
T3162124573184487266,Glin Day Care Centre Limited,20074395,2012-12-01
T3162124573184487266,Glin Homes for the Elderly Limited,20052126,2002-10-03
T2119730709483594612,Enniscrone N S,20134198,2015-12-07
T5074127707130388187,Cappatagle Central Sch,20122522,1979-09-01
T6486435414495859452,Enclude Company Limited by Guarantee,20064006,2018-01-29
T3172073181033425326,Ballybeg Community Development Project Company Limited by Guarantee,20031992,2013-03-20
T2207540312029573710,Obair Newmarket-On-Fergus Limited.,20026738,2010-04-14
T7490649788660959086,Sn Na Leanai,20136642,2016-09-03
T3080980826442195188,A Pint a Month,20074272,2009-08-29
T2752970811944546012,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
T5436326683744083850,Roscara Housing Association Limited,20032586,2001-01-20
T67626672321481767,Leighlinbridge Community Childcare Limited,20063771,2005-09-29
T215329391341920109,Saint Patrick's National School - Crossmolina.,20018306,2015-12-07
T5770670580079414049,A Little Lifetime Foundation,20031688,2000-05-01
T7128008720026652114,Roscommon Safe Link Limited,20077518,2011-06-13
T6405888441742352289,Offaly Domestic Violence Support Service,20038021,2014-09-02
T4385681654413328473,Glenswilly N S,20116132,2011-11-23
T8876220618356272846,Miltown Malbay Development Company Limited By Guarantee,20159382,2017-04-11
T3278889352850725071,Roscommon Friendly Call Service,20165390,2013-12-05
T6606115445948255059,Saint Peter's National School - Drogheda.,20018504,2015-11-17
T3873334576748498500,Irish Rule of Law International,20073541,2015-06-30
T5588576199165052858,Caoimhin Naofa N S,20139018,2015-12-01
T5898800599173234801,Cloonfour N S,20133337,2017-10-26
T6502187213929190399,Cloonfad Playground,20158286,2017-05-14
T9121367639650379158,Daingean Community Childcare Services Limited,20059767,2015-05-12
T3904648728629585129,Glendalough and District Development Association,20039318,2016-05-17
T591105501298176395,Sn Mhuire (Ballyhooly),20114213,2015-12-01
T3769294819379359027,Cappagh Orthopaedic Hospital Research & Development Foundation,20023201,2015-05-10
T2294772769421357748,Carbally community Development project,20141240,2016-08-01
T4990572021444226650,C.J. Kickham Band Limited,20048624,2016-04-25
T2554703564401158156,Enable Ireland Disability Services,20006617,2019-05-08
T5593903956852804982,Leamy Endowments.,20002787,2014-07-22
T362911940169072619,Abbeydorney/Kilflynn Family Resource Centre Limited,20074968,2011-06-23
T8721292698285262221,Ballybay Central NS,20132460,2016-02-09
T1089665304403843439,Daingean Social Services.,20019570,2014-04-02
T2473833779733488378,C.A.S.A. Break Houses.,20027599,2000-04-07
T5620379094172647284,Ennis Schools Completion Programme Limited,20080631,2012-06-26
T5352621185096889719,Misean Cara,20055325,2015-05-27
T1197888546427035566,Saint Peters College.,20001681,2015-11-23
T4352011556167839597,Leitrim Association For People With Disabilities,20034283,2017-10-03
T1975465048733975178,Ballinode Catering and Services Limited,20039523,2016-08-25
T3415183545055592812,Ennis Old Folks Club.,20011611,2017-09-01
T9078097909502597406,Irish Refugee Council,20025724,2012-03-24
T6092860956149419754,Clonmel Community Parent Support Programme,20045227,2006-01-30
T7460022667923644336,Clontibret Development Association,20057589,2012-08-01
T311492165010994022,Offaly Association for People with an Intellectual Disability,20017279,2008-12-12
T4038161379436922084,22Q11 Ireland Support Group Limited,20066109,2014-10-01
T2757723150731772757,Irish Second-Level Students' Union CLG,20141868,2019-07-08
T5646654145557070722,Legal Aid Board,20012489,2016-11-08
T581972787970103976,Cloone/ Aughavas Community Childcare Limited,20045999,2015-09-21
T3235165258638234190,C.D.A. Trust,20047597,2015-12-07
T5851324208445731479,Milltown Childcare Centre Company Limited by Guarantee,20029883,2014-11-01
T6263603046062802962,Irish Social Finance Centre Ltd.,20039998,2013-12-12
T7483610634926184770,Ennis N S,20110536,2015-11-03
T5700957806826844059,Enniscrone N S,20134198,2015-12-07
T8927808444212438221,Gleneely N S,20115784,2015-12-01
T5516396500380593628,22Q11 Ireland Support Group Limited,20066109,2015-10-01
T6717222434614033194,Cara Junior School,20139599,2016-09-01
T3406916867691574786,Sn Naomh Samhthann,20115395,2016-02-03
T2869258643001740615,Saint Patrick's Loreto Primary School-Bray,20014322,2015-12-01
T3436950589487511946,Dalkey N S (2),20118181,2015-12-01
T7562073244351246792,Ballinode Catering and Services Limited,20039523,2011-05-19
T4011297678041023131,Sn Paroiste Maitiu Nfa,20117139,2016-02-08
T7288026641226846125,A-Z Children Limited,20053406,2015-02-14
T8358554789158557683,Irish Progressive Association for Autism Limited,20066444,2015-06-16
T1114394464243811930,Clooniquin N S,20133849,2016-02-04
T4687346425782753968,Legion Of Mary-Limerick,20020910,2016-12-01
T2027404839845687716,Milltown Housing Association Limited,20038397,1998-03-06
T6428134903752893419,OBAIR Community Support DAC,20107901,2014-04-16
T6965117636164328153,Vincentian Fathers,20016678,2018-11-08
T3234709519966266436,Ennis Schools Completion Programme Limited,20080631,2012-06-26
T3234709519966266436,OGONNELLOE COMMUNITY CENTRE CLG,20160760,2014-09-25
T8390246332903147903,Clontubrid Mixed N S,20125356,2019-12-01
T5194654590907502510,Saint Raphael's Parents and Friends Association,20009960,1995-08-01
T2884118752995058539,Saint Paul's Area Development Enterprise CLG,20021788,2015-05-25
T814581032512874030,Missing in Ireland Support Service Limited,20057879,2016-01-16
T5391851339727287471,Canteen Ireland,20032180,2001-05-28
T6076532799194599572,Legal Aid Board,20012489,2016-11-08
T8089102869375410956,Missionary Sisters Servants Of The Holy Spirit-Maynooth,20017316,2013-03-22
T8617907232284119178,St. Joseph's Girls National School,20112073,2015-12-07
T4767604918711316476,Sn M An Croi Gan Smal,20122348,2019-12-05
T7857747243164135243,Sn Sailearna,20121082,2001-02-19
T2947061133042190168,Clooncagh N S,20133627,2017-09-01
T8669952562541008027,Roscara Housing Association Limited,20032586,1999-05-31
T6955119508064428592,Clonmacnois Faith Heritage Trust,20077570,2011-05-12
T2307332223631475709,C.B.S.,20148287,2015-10-18
T2452446046096012063,C.b.s. Secondary School,20146184,2014-11-13
T4206880601287137827,Irish School Of Ecumenics,20009359,2015-05-19
T3955907473646637862,Scoil Phádraig,20016135,2015-03-02
T7726757432202757423,80:20 Educating And Acting For A Better World Limited,20034221,2017-12-11
T509456220357035238,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
T8948662936702905201,Leargas - The Exchange Bureau.,20020330,2012-07-01
T302480293373583388,Oakdene House Ltd,20024536,2015-06-16
T8752263698518737632,Ballivor Community Childcare Limited,20047702,2010-01-01
T2452977996821094673,The Bryan Guinness Charitable Trust CLG,20006174,1971-10-22
T6564338374788189005,C.b.s. Thurles,20148409,2017-11-15
T4206475439097118215,Saint Ultan's Childcare Project Limited,20070038,2015-11-10
T1428954204172203846,Cloontagh Mixed N S,20128388,2016-01-18
T2766801124703428371,Saint Patrick's National School-Drogheda,20023232,2015-12-10
T6049222491174161337,Sn Na Croise Naofa,20115982,2015-11-26
T8933201608653072752,22Q11 Ireland Support Group Limited,20066109,2015-10-01
T1463381398550621157,Cappatagle Central Sch,20122522,2015-12-10
T6962949940945147064,C.b.s. Roscommon,20148164,2013-09-01
T1448692717274475451,Leave No Trace (Ireland),20082178,2018-07-02
T4080735251086372965,1st Edenderry B.P. Scouts,20164034,2013-09-12
T6520983596145126367,Ballintotas N S,20112929,2019-12-02
T4200823164563075553,Clonown N S,20133641,2015-12-10
T7818209277472447757,Ennis Schools Completion Programme Limited,20080631,2012-06-26
T7929128515964454761,Milltown Childcare Centre Company Limited by Guarantee,20029883,2019-02-26
T7616729758623990184,Cardiac Risk in the Young in Ireland Limited,20047511,2002-07-01
T6845834008749022334,C.F.  Shaw Trust.,20006600,2009-01-01
T5086497488412318648,Dalkey Irish Heritage Town Company Limited,20026363,2015-04-21
T7995475705550152896,Salesian Congregation of Don Bosco- Ireland,20007126,2017-08-07
T2088360756058790963,Ballintubber N S,20133634,2015-12-08
T6516720053523896201,Salesian Congregation of Don Bosco- Ireland,20007126,2017-08-06
T8939647059919880435,Ballintotas N S,20112929,2019-12-02
T1038252633285998114,Sn Na Croise Naofa,20115982,2015-11-26
T168105440201151958,Salesian Congregation of Don Bosco- Ireland,20007126,2014-05-30
T8290182905581523889,Missionaries of Africa (white Fathers) Company Limited by Guarantee,20008864,2015-10-02
T5291736391247675469,Ballintogher N S,20134075,2018-09-03
T6472605183426885895,Offaly Centre for Independent Living,20043568,2007-02-26
T5767253168061192323,Empowerment Plus Limited,20074043,2019-08-13
T5582941005840339471,CAP - Care After Prison Company Limited by Guarantee,20081003,2015-06-01
T1649024840593029809,Ballintleva N S,20133979,2015-11-19
T4246476326192191716,Irish Society for Autism,20008529,2001-10-06
T4246476326192191716,Irish Society for Autism Housing Association Limited,20065140,2006-08-25
T4261202009453725000,Cystinosis Foundation Ireland Limited,20053796,2003-06-06
T5292515614746652496,Ogonnelloe National School,20110710,2015-12-01
T341623180994916768,Glencorrib N S,20130350,2015-12-01
T2149277023785052083,Milltown Community Care Association,20026219,2000-11-01
T8550443646169943169,Milltownpass N S,20137168,2015-12-01
T9168977065639097453,Offaly School Of Special Education,20140588,2015-12-01
T6468444449473926046,Leitrim Arts Development Ltd,20060565,2017-01-01
T4841384601213270776,Clonmel Voluntary Housing Association Limited,20023812,1989-04-24
T7731619656635464019,Abbeydorney Development Company CLG,20150129,2004-04-28
T3074530664665335056,Ballintubber Abbey Trust DAC,20030650,1995-05-05
T472197845724642149,Ballintubber N S (Mayo),20129330,2016-10-01
T5472781303011545663,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
T9149707450377442426,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
T5296764629130837732,Scoil Phádraig,20016135,2016-11-01
T8285265669419859519,Energy Action Limited,20024109,1950-01-21
T1271147427131573006,Roscommon Lions Community Youth Centre Limited,20066277,2008-07-10
T334390388789066958,Ballintubber Resource Centre Limited,20054830,2002-12-19
T4692177738045253609,Sn Nicolais Naofa,20139117,2016-01-26
T3146786384719169356,Millstreet and District Housing Association Limited,20026349,1999-02-22
T1745357675187895833,Offaly Heritage Centre Limited,20025953,1992-06-08
T6927316727145672382,Legal Aid Board,20012489,2016-11-08
T4942577363042176119,Saint Ultan's Childcare Project Limited,20070038,2014-09-01
T6289222006934770086,Dalkey Community Pre-school Group,20055899,2008-02-22
T2866034787144375402,End Time Reform Ministry,20045906,2010-04-01
T5490813483744945686,Clonmacnois Faith Heritage Trust,20077570,2011-05-12
T5490813483744945686,Irish School of Evangelisation,20070847,2015-01-01
T5332834913822918780,Caragh N S,20124816,2015-12-10
T3319636212189418802,Sn M An Croi Gan Smal,20122348,2015-12-01
T8454758708908435615,Ballintubber Abbey Trust DAC,20030650,2002-04-30
T7818107819245979797,Ballintubber N S (Mayo),20129330,2016-10-01
T7669923351140234619,Leave No Trace (Ireland),20082178,2018-12-04
