Name,Charity,Registered Number,Date
T3810710289360947454,Leitrim Association For People With Disabilities,20034283,2016-10-04
T6390065128558139522,Offaly Association for People with an Intellectual Disability,20017279,1990-01-01
T4528505533881550179,Cara Cancer Support Centre,20083588,2015-04-11
T5571426704290065099,Rooskey Development and Social Inclusion Group Ltd,20061364,2004-12-02
T304900826581763624,Oatlands College,20144999,2019-02-01
T1816636523575650506,Leinster Quarterly Meeting Educational Committee.,20000950,2008-11-04
T5389117813050711896,Irish Rule of Law International,20073541,2015-06-30
T8077378380062173409,Irish Primary Principals' Network Limited,20063634,2014-11-13
T7153977610193856883,TU Dublin Foundation,20045807,2014-03-11
T7367281555284395922,Carbally community Development project,20141240,2017-01-25
T540862097051518412,Leebeen Park Development CLG,20054021,2003-05-22
T7826354684635258651,Damer And Fortick Charity,20003074,2009-06-19
T7826354684635258651,Damer & Fortick Residential Services Limited,20072728,2009-06-19
T4252058877569202210,A Sense of Cork Mid-Summer Arts Festival Limited,20075514,2011-12-02
T7303614183345070223,Milltown Community Care Association,20026219,2000-11-01
T5966418891741447350,Milltown Housing Association Limited,20038397,2002-06-20
T8686461697635329933,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
T8575953836039322361,Saint Philips Church - Milltown.,20003104,2014-04-01
T5659069413599087135,Milltown N S,20109523,2011-12-01
T4601224291009017603,C.b.s. Mount Sion; Waterford,20148096,2015-10-01
T6585449402603701442,Sn Muine Mhea,20122416,2015-11-01
T4980027331944189485,Roscrea Cares Company Limited by Guarantee,20038243,2017-08-04
T7827352456345282074,Roscarbery Con N S,20112868,2015-11-10
T9092800925561447172,Saint Patrick's National School-Drogheda,20023232,2015-12-10
T728502506259060594,22Q11 Ireland Support Group Limited,20066109,2007-10-17
T1871211667557069476,Clonmel Youth Training Enterprises Ltd,20037017,2010-05-26
T3377417182560200994,Cystinosis Foundation Ireland Limited,20053796,2003-06-06
T1418584997610218736,Employment Response Northwest Limited,20062880,2004-10-15
T6508921463186078530,Clonmany Agricultural Sheepdog Association Limited,20054151,1999-08-06
T7631617101198523328,Saint Patrick's Loreto Primary School-Bray,20014322,2006-12-01
T1451846395792422550,C.b.s. Secondary School,20146184,2014-11-13
T8456716699778088436,A Dogs Life,20071882,2010-06-12
T4036308714612005257,Caoimhin Naofa N S,20139018,1995-11-01
T3968619250027310792,Milltown Community Care Association,20026219,2000-11-01
T2520525083646247314,Ballinteer Community School,20148836,2014-08-01
T2857354401830406138,Leenane Development Association Limited,20083946,2013-09-26
T5266547888615977222,Cappanagarrane Horse Rescue,20101305,2015-05-01
T5350683231495886942,Legal Aid Board,20012489,2016-11-08
T1607649491813008307,Irish Skin Foundation,20078706,2017-01-01
T4816876821390279892,Daisyhouse Housing Association Ltd,20024185,2018-12-03
T1433029923269648538,Abaile Autism Support Limited,20052232,2005-09-29
T4312328752022733919,Sn Naomh Proinnsias,20130312,2015-12-01
T4457618683479471241,Enable Ireland Disability Services,20006617,1997-12-17
T8698387299920398783,ENHANCE,20064679,2015-03-14
T3056047781056807283,Lehena Enterprises,20152918,2016-07-17
T2232099367517509023,St. Johns Senior National School,20138738,2015-09-01
T4243296373648256358,Cappamore Housing Association Company by Limited Guarantee,20066840,2007-02-14
T7374461060803357316,Clonown N S,20133641,2015-12-10
T1683924639079292816,Irish Seed Saver's Association Ltd,20045029,2009-08-08
T4956322526573860387,Leim an Bhradain Housing Association Company Limited,20052461,2013-07-26
T1955903503561935877,Glenbeigh Community Council Limited,20075941,2013-10-29
T4262349975898151194,Employment Development and Information Centre (Longford0 Limited,20058708,1999-11-09
T7053545367967882181,Glenswilly N S,20116132,2011-11-23
T2488250617764474524,OBAIR Community Support DAC,20107901,2015-04-29
T2565959410200145700,Ballintubber Resource Centre Limited,20054830,2002-12-19
T6964987662641661809,Légion d'Honneur Ireland,20157357,2017-03-22
T7792917231427761376,Saint Wolstans Community School,20013882,2019-09-26
T612314628419114492,Offaly Integrated Local Development Company Limited,20072551,2007-12-05
T2053835175780188612,Capacitar Ireland Limited,20059811,2015-02-14
T818840088063779707,Roscommon Integrated Development Company Limited T/a Roscommon LEADER Partnership,20070878,2011-09-06
T5003612563184756633,Min A Ghabhann N S,20115265,2015-11-02
T476138475372761095,Saint Peters College.,20001681,2006-11-06
T2030117953694258991,Sn Na Leanai,20136642,2016-09-03
T6397337250687745794,Leighlinbridge Housing Association Ltd,20062750,2006-02-27
T7373228487548778734,St. Joseph's Foundation,20016104,2014-06-09
T8747240985719002694,Irish Refugee Council,20025724,2015-03-28
